AreaZone,IntersectionType,CollisionType,Municipality,Latitude,Longitude,RoadCategory,RoadNumber,TrafficRegime,NrOfTrafficLanes,UpstreamTerminalNumber,DistanceToPR,AccidentSituation,StruckWithFixedObject,StruckWithMovingObject,InitialShockPoint
2,1,3,387,,,4,0,2,2,,,1,0,2,5
2,1,4,63,4487080,-57611,4,,3,8,,,1,0,2,4
1,1,4,527,,,1,1,3,3,19,600,1,3,2,6
2,3,3,44,,,4,0,2,2,,,1,0,2,2
2,2,3,172,4,0,4,0,1,3,,,1,0,2,8
2,1,3,136,4268658,286919,4,,2,3,,,1,0,2,3
1,1,7,468,,,1,104,3,3,26,100,3,16,0,1
2,4,6,67,,,3,0,2,5,,,1,0,0,0
1,1,6,100,4904100,-33100,3,23,2,2,0,0,0,13,0,2
2,3,1,172,,,4,0,1,1,,,1,0,2,3
2,1,6,31,4,0,2,311,2,1,0,803,1,0,1,2
2,1,3,55,,,3,0,2,2,0,0,1,0,2,7
2,6,2,172,,,4,0,1,1,,,1,0,2,4
2,2,4,440,,,3,0,1,1,43,256,1,0,2,4
2,1,6,65,,,3,991,2,2,43,0,1,0,1,2
2,3,3,4,,,2,0,2,2,,,1,0,2,3
2,1,4,46,,,3,0,3,5,,,1,0,2,4
1,3,3,249,0,0,3,21,2,2,12,50,1,0,2,7
1,1,3,252,4,-,3,940,2,2,1,650,1,0,2,3
1,2,3,437,4734875,537522,3,25,2,2,58,100,1,0,2,7
1,1,3,426,0,0,3,2,2,2,2,600,1,0,2,3
1,1,1,206,0,0,3,418,2,1,6,425,1,0,2,3
2,1,6,482,,,4,0,2,2,,,1,0,1,1
2,1,6,209,,,4,0,1,1,,,1,0,9,0
2,3,3,599,4943588,115239,4,,1,1,,,1,0,2,2
2,1,2,136,,,4,0,2,2,,,1,0,2,4
2,1,6,181,,,9,0,2,1,2,0,1,0,1,4
2,2,6,415,4573796,-61650,3,24,2,1,3,1016,1,0,2,3
2,3,6,115,,,4,0,1,1,,,1,0,1,1
2,2,1,136,4269635,290859,4,,2,1,,,1,6,2,6
2,1,2,424,4899220,219930,3,14,3,2,7,400,1,0,2,4
1,1,6,28,5055000,275000,2,10,3,4,83,800,3,2,0,9
1,1,6,227,0,0,1,4,3,4,98,300,3,16,0,9
1,1,6,34,,,9,0,1,0,41,124,1,6,1,0
1,6,6,550,,,3,0,1,2,0,2,1,0,2,7
2,1,6,27,,,4,0,1,1,,,1,0,1,1
2,1,3,88,,,4,0,1,4,,,1,0,2,7
1,1,7,53,4,0,2,104,3,2,17,120,1,0,0,0
2,1,7,224,,,4,0,3,1,,,1,2,2,7
2,1,6,46,4880510,244118,6,0,0,0,0,0,1,0,1,4
2,4,6,119,,,4,0,0,0,,,4,15,1,2
1,1,1,204,4356300,232600,3,612,2,3,32,800,1,0,2,1
2,1,6,189,4383355,435942,4,0,1,3,,,1,0,1,1
2,1,6,102,,,4,0,1,1,,,1,14,0,1
2,1,3,11,,,2,0,2,4,,,1,0,2,3
2,1,6,350,,,4,0,2,2,,,1,0,2,7
1,1,3,47,0,0,3,107,2,2,,,1,0,0,7
2,2,3,108,,,4,0,1,2,,,1,0,2,3
1,2,3,384,4827906,-283121,3,35,2,0,6,0,1,0,2,3
1,1,5,85,5092000,210000,3,,2,2,5,305,1,0,2,3
2,1,1,118,,,2,0,2,2,1,0,1,0,2,3
2,1,6,529,4463496,-115334,6,0,0,0,,,1,0,1,2
2,2,3,55,,,4,0,1,2,,,1,0,2,5
1,1,6,94,4507410,69028,2,21,2,3,73,800,3,2,0,1
1,1,6,279,4820900,-290200,2,164,2,2,0,0,3,2,0,1
2,1,6,189,,,4,0,1,3,,,1,0,1,7
2,1,6,96,,,6,0,1,1,,,1,0,1,6
2,1,6,359,,,4,0,2,1,,,1,1,0,5
2,1,6,337,,,4,0,1,1,,,1,0,9,8
2,2,3,578,,,4,0,2,5,,,1,0,2,2
2,1,3,44,,,4,0,1,1,,,1,0,2,7
2,1,6,555,4360700,144730,4,0,2,4,,,1,0,1,1
2,3,3,8,,,4,,1,1,1009,0,1,0,2,3
2,1,3,13,,,9,0,0,2,,,0,0,2,8
2,2,6,63,,,4,0,2,0,,,1,0,1,0
2,3,3,69,,,4,0,2,2,,,0,0,2,1
2,3,3,29,,,2,0,2,4,68,57,1,0,2,8
2,1,6,121,4401768,135471,4,0,0,0,,,1,0,1,0
2,1,2,113,4882640,238893,4,0,1,4,0,900,1,0,2,5
2,1,2,63,,,4,0,2,2,,,1,1,2,1
2,1,5,382,,,4,0,1,1,,,1,1,0,9
1,1,6,63,,,3,0,2,2,,,1,1,0,3
1,1,2,661,,,1,10,3,4,9,0,1,0,2,4
2,2,5,481,4889800,211073,3,186,2,3,19,651,1,0,2,8
2,9,7,238,,,4,0,2,0,,,1,0,0,0
2,2,3,382,,,4,0,1,1,0,1,1,0,2,3
1,3,1,299,4935225,420316,3,20,2,2,13,205,1,0,2,1
1,1,6,160,0,0,3,14,2,2,10,900,3,13,0,0
1,1,4,266,,,3,383,1,3,6,900,1,0,2,4
2,1,5,175,4924581,246739,3,201,3,2,,,1,3,9,6
1,1,6,54,,,9,0,2,2,,,4,15,0,2
1,1,6,142,4,0,3,71,2,2,54,700,1,13,0,1
1,1,7,520,4869500,567300,3,36,2,2,16,0,3,13,0,1
1,5,4,238,4807977,-168457,2,136,3,2,9,800,1,0,2,4
2,1,6,385,,,3,0,2,2,,,1,0,1,1
2,2,3,55,,,4,1,2,2,,,1,0,2,3
2,1,6,88,,,4,0,2,2,,,1,0,1,1
1,1,3,550,,,1,630,3,6,29,500,1,0,2,8
2,1,3,32,,,4,0,2,2,,,1,0,2,7
2,1,2,181,,,4,0,1,1,,,1,0,2,4
1,1,5,107,4,0,3,4,2,0,14,500,1,0,2,7
1,1,7,69,,,1,4,1,4,3,800,1,0,0,0
2,2,3,81,4878740,240154,4,0,2,1,0,0,1,0,2,7
2,1,6,474,,,4,0,2,1,,,1,0,5,1
1,1,3,67,4871800,769200,3,30,2,2,29,425,1,0,2,3
2,1,6,7,4413001,407185,3,385,2,1,2,90,1,2,0,1
1,1,6,63,4533012,2487,3,20,2,2,13,775,3,8,0,7
1,1,7,159,4678850,175392,3,943,2,2,44,450,1,0,1,5
2,1,2,663,0,0,6,0,1,0,0,0,1,1,0,4
2,1,6,6,4,0,4,0,1,1,0,0,1,0,2,3
1,1,6,13,,,1,1,3,6,3,200,1,10,0,0
1,1,7,78,,,2,104,1,1,,,1,4,0,3
2,1,1,32,0,0,3,1,2,2,0,0,1,0,9,2
2,1,4,118,,,4,0,3,4,22,400,1,0,2,4
2,9,7,122,,,4,0,2,2,,,1,0,0,7
2,1,2,55,,,4,0,2,2,,,1,0,2,4
1,1,3,90,4609800,628400,3,2,2,2,43,0,1,0,2,7
2,1,6,1,,,3,8,2,2,,,1,0,1,1
2,1,3,4,,,4,0,2,2,,,1,0,2,8
1,1,6,100,0,0,2,10,3,4,61,860,1,3,0,1
2,1,6,53,,,3,1075,2,2,,,1,0,1,1
2,1,6,163,,,9,0,1,1,,,4,1,1,9
1,1,1,128,0,0,3,350,2,2,7,200,1,0,2,1
2,3,3,31,4516200,153108,4,,1,1,,,1,0,2,7
2,7,3,7,4746585,-55946,4,0,2,1,,,1,0,2,1
2,7,3,116,,,4,0,1,0,,,1,0,2,6
2,2,3,350,,,4,0,2,4,,,1,0,2,1
2,1,3,7,,,4,0,3,2,0,1,1,0,2,5
2,1,6,72,,,3,0,3,6,,,1,11,0,1
1,1,7,226,0,0,3,127,2,0,0,0,3,13,0,1
1,1,7,80,4848200,229000,3,56,2,2,0,0,1,0,0,2
2,1,3,24,0,0,3,129,2,0,1,195,1,0,2,6
1,1,6,196,4749400,690300,3,480,2,2,16,600,3,2,0,8
2,1,6,512,,,4,0,2,2,,,4,14,0,2
2,1,6,112,,,4,0,1,3,,,1,0,1,2
2,1,3,8,,,3,2,2,2,59,100,1,0,2,8
1,1,7,186,,,4,0,0,1,,,0,0,0,9
2,3,3,194,,,4,0,1,1,,,0,0,2,1
2,1,1,465,0,0,3,111,2,1,6,100,1,0,2,3
1,1,7,351,0,0,3,20,2,2,0,0,1,16,0,1
1,1,1,33,,,4,0,2,2,,,1,0,2,3
2,3,3,23,,,4,0,2,2,,,1,0,2,6
2,1,7,555,4,0,4,0,2,2,0,0,1,15,0,0
2,1,2,44,,,4,0,2,5,,,1,0,2,4
2,3,2,2,,,4,0,1,1,,,0,0,2,4
2,1,6,40,,,3,7,2,4,,,1,0,1,2
1,1,3,78,4860600,-171100,3,797,2,2,0,0,1,0,2,2
2,1,4,189,,,3,0,1,2,,,1,0,2,9
2,1,6,176,4648700,398800,3,979,2,2,0,0,1,0,1,2
2,2,6,7,,,3,0,2,2,,,1,0,0,1
2,1,3,112,,,4,0,2,2,,,1,0,2,8
1,1,7,69,,,4,0,2,2,0,200,0,0,0,0
1,1,7,26,,,1,55,1,2,30,0,1,0,0,0
1,1,5,33,0,0,1,57,3,0,31,400,1,0,2,7
2,2,3,389,,,4,0,1,1,,,1,0,2,5
1,1,6,76,0,0,3,95,2,2,11,800,1,0,5,1
2,1,6,108,,,4,0,2,2,,,1,0,1,2
2,1,6,75,,,4,0,2,2,,,1,1,2,3
2,3,3,482,,,4,0,2,2,,,1,0,2,7
2,1,3,1,,,4,0,2,2,,,1,0,2,8
2,1,2,183,,,3,0,2,2,17,0,1,0,2,4
2,1,6,575,,,3,0,2,0,,,1,0,2,5
2,1,2,65,,,4,0,1,3,,,1,0,2,5
2,1,3,202,4585900,540800,3,122,2,2,0,0,1,0,2,8
2,1,7,21,,,4,0,2,2,,,1,0,1,1
1,1,6,345,0,0,1,77,3,0,0,0,3,3,0,1
2,1,6,15,4748900,242900,4,74,2,2,0,0,4,8,0,4
2,2,2,113,,,4,0,1,2,,,0,0,2,8
1,1,7,634,0,0,3,7,2,2,7,500,1,0,0,1
1,1,3,87,4522000,433200,3,61,2,2,4,300,1,0,2,3
2,2,3,18,,,2,,2,1,,,1,0,2,1
1,1,7,242,0,0,1,51,1,2,80,0,3,15,0,7
2,2,3,119,,,4,0,2,2,1,0,1,0,2,3
2,2,3,183,,,4,0,1,1,,,1,0,2,7
2,1,7,2,,,4,1,3,2,,,1,0,0,1
2,1,6,337,,,3,0,3,1,,,1,15,0,9
1,1,1,621,,,3,0,2,2,1,0,1,0,2,1
2,2,3,102,,,4,0,1,3,1,0,1,0,2,2
1,1,7,16,4599730,151042,3,108,2,2,3,276,3,0,0,2
2,1,6,124,0,0,4,0,2,0,0,0,4,15,0,1
1,1,4,281,,,1,46,1,2,49,500,1,0,2,8
2,2,3,389,,,4,0,2,4,,,1,0,2,7
2,1,3,162,,,2,844,3,4,31,850,1,0,2,8
1,6,1,560,5,0,3,238,3,0,0,0,1,0,2,8
2,1,7,26,,,3,0,3,4,,,1,0,0,7
2,1,6,72,,,4,0,3,2,,,1,0,1,1
2,1,7,383,4575390,484623,4,0,1,3,,,0,0,1,0
2,1,7,529,0,0,4,9,2,2,0,0,1,0,0,9
2,1,1,34,,,4,0,2,2,,,1,14,2,3
2,9,6,76,4681170,484536,4,,2,2,,,1,0,2,2
2,2,3,55,,,4,0,2,4,,,1,0,2,7
2,2,3,383,,,4,0,3,4,,,1,8,2,7
2,1,6,105,4977717,470494,4,,2,2,,,1,0,1,1
2,1,3,117,,,4,0,0,3,,,1,0,2,7
2,1,6,27,,,4,0,2,1,,,1,0,1,1
1,1,7,215,,,3,712,2,2,63,700,3,13,0,9
1,1,4,283,,,3,0,2,2,72,200,1,0,2,6
2,2,6,468,,,4,0,3,2,,,1,0,2,2
2,3,6,110,,,4,0,1,2,,,1,0,1,3
1,1,7,51,4811875,-157425,4,0,2,2,,,1,16,0,1
1,1,7,186,4552556,460212,1,47,3,2,17,595,1,4,0,3
2,3,6,111,,,4,0,2,1,,,1,15,2,8
2,1,6,56,4540805,473667,3,1086,2,1,5,900,1,6,0,3
2,3,3,120,,,4,0,3,4,,,1,0,2,5
1,1,7,26,4521500,381800,3,906,2,2,0,0,1,13,0,2
2,1,6,12,,,4,,3,4,5105,3360,1,0,2,2
2,6,7,203,4959960,-159733,2,13,1,1,52,379,1,16,0,1
2,1,3,189,4384528,439390,4,0,2,2,,,1,0,2,6
2,3,3,24,,,3,0,2,2,,,1,0,2,1
1,1,4,80,,,1,62,3,4,5,700,1,0,2,6
2,5,3,115,,,4,0,0,1,,,1,0,2,7
2,1,6,88,,,4,0,1,1,,,1,0,1,4
2,1,6,55,4728584,-239644,4,,2,2,,,1,0,1,3
2,1,3,482,,,4,0,2,2,,,1,0,2,7
2,1,7,102,4348940,-147239,4,,1,1,,,1,0,1,4
2,2,6,113,,,4,0,2,1,,,1,0,1,3
2,1,3,482,,,4,0,2,2,,,1,0,2,7
2,1,1,286,4310009,-5303,3,940,0,2,9,1735,1,0,2,3
1,1,6,410,4669500,510300,3,978,2,2,94,600,3,2,0,2
1,1,3,132,0,0,5,0,2,0,0,0,1,0,2,3
2,3,1,281,4481930,-63470,4,,1,1,,,1,0,0,0
2,9,6,630,,,4,0,2,2,,,1,0,9,8
2,1,3,63,4485680,-62445,4,0,2,2,,,1,0,2,8
2,2,3,48,4885506,241917,2,302,2,2,,,1,0,2,8
2,1,2,445,,,4,0,2,2,,,1,0,2,3
2,6,7,16,,,4,0,2,0,,,1,0,0,9
1,1,1,127,4807800,-227100,4,0,0,2,0,0,1,0,2,3
2,1,6,24,4818656,-162836,4,,2,2,,,0,6,0,1
1,1,2,73,4743563,-167318,3,37,2,2,3,200,1,8,2,1
2,1,6,11,4567238,638263,4,0,2,2,,,1,6,2,7
2,1,3,41,,,2,19,1,2,5,690,1,1,2,9
2,6,1,222,0,0,3,6,1,1,2,767,1,0,9,5
2,3,6,113,,,4,0,2,2,,,1,0,1,7
1,1,2,261,,,4,0,3,2,,,1,0,2,4
2,1,3,15,4933328,233603,3,929,2,0,24,100,1,0,2,3
2,6,6,118,0,0,3,2209,2,2,0,500,1,0,1,2
2,1,6,112,,,4,0,1,4,34,400,0,6,0,1
1,1,6,49,0,0,3,35,2,0,3,480,1,6,0,1
2,2,7,8,4890430,244571,4,,1,2,,,1,0,0,0
1,1,6,64,4887560,247833,1,86,0,1,16,400,0,4,0,1
2,1,6,110,,,4,0,1,1,,,1,1,0,1
2,3,3,395,,,4,0,1,1,,,0,0,2,5
2,3,3,55,,,4,1,2,1,,,1,0,2,8
1,1,4,106,4340210,535588,1,51,1,3,1,0,1,0,2,4
2,2,3,12,,,4,11,2,2,,,1,0,2,2
2,2,3,445,,,4,0,2,2,,,1,0,2,8
2,2,6,107,,,4,0,1,2,,,1,0,0,1
1,1,6,313,4912040,221540,4,,2,1,,,1,13,0,8
2,1,6,386,,,4,0,1,2,,,4,0,1,3
1,1,7,137,,,1,50,1,2,71,400,1,6,0,2
2,1,6,45,5035016,258092,3,74,2,2,,,1,0,1,1
1,1,2,365,,,2,104,1,6,15,200,1,0,2,4
2,1,1,61,4454100,605700,5,0,2,1,0,500,1,0,2,3
2,2,3,62,,,4,0,2,2,,,1,0,9,3
2,2,6,88,,,4,0,0,1,,,1,0,1,2
2,1,6,49,4729566,-251278,4,0,2,2,,,1,0,1,4
1,1,1,122,4420500,106800,3,957,2,2,2,0,1,0,9,2
2,1,5,42,,,4,0,2,4,,,1,1,1,9
2,2,7,16,,,4,,2,4,1009,0,1,0,0,0
2,6,6,31,,,2,0,2,2,,,1,0,1,1
2,1,6,114,,,4,0,1,1,,,4,15,0,0
2,1,6,107,,,4,0,2,4,,,1,0,1,8
2,2,1,395,4870007,618016,4,0,1,1,,,0,0,2,2
1,1,2,92,0,0,1,83,3,2,98,700,1,0,2,4
2,1,6,142,0,0,3,107,2,2,0,0,4,0,9,1
1,1,3,24,0,0,3,982,2,2,22,500,1,0,2,2
2,1,2,299,,,4,0,2,2,,,1,0,2,4
1,1,1,244,0,0,3,15,2,2,26,937,1,0,2,3
2,1,2,350,,,4,0,2,4,,,1,0,2,4
1,1,1,421,,,4,0,2,2,0,0,1,0,2,1
2,1,3,182,0,0,3,31,2,2,39,0,1,0,2,3
1,9,5,264,0,0,3,86,0,2,130,500,1,0,2,8
2,1,2,284,,,4,0,3,4,,,1,0,2,4
2,1,6,306,,,4,0,2,2,,,1,0,1,1
2,1,2,37,,,2,0,3,4,,,1,0,2,4
2,1,3,323,,,3,0,1,1,,,1,0,2,5
2,1,3,19,,,4,,3,4,5105,2620,1,0,2,3
2,2,6,512,,,4,0,2,2,,,1,0,2,6
2,1,3,310,,,2,0,1,1,18,110,1,14,2,7
2,1,7,55,4334663,537825,4,0,2,2,,,1,0,1,2
2,1,6,602,4964340,-160275,4,504,2,2,,,1,14,0,1
1,1,7,468,4950600,234800,3,938,2,2,0,0,1,16,2,9
1,1,5,455,,,1,13,1,2,15,650,1,0,2,6
2,1,6,249,,,6,0,1,1,,,1,0,1,1
1,1,6,123,4,0,2,75,2,2,7,816,3,0,0,0
2,1,5,76,,,3,0,3,2,,,1,0,2,4
2,3,6,17,,,4,,2,2,1009,0,1,0,2,1
1,9,6,113,,,4,0,2,2,,,1,3,2,8
2,1,3,565,,,4,0,0,2,18,700,1,0,2,3
2,2,3,10,,,4,0,2,2,0,0,1,0,2,7
2,1,6,88,,,4,0,3,2,,,1,0,1,1
2,9,6,259,,,4,0,3,2,,,3,0,1,1
1,1,3,402,4,0,1,13,3,3,41,750,1,0,2,8
1,1,1,141,0,0,3,16,2,2,29,200,1,0,2,3
2,1,6,219,4898860,225980,4,,2,2,,,1,12,0,2
1,1,6,185,4325259,167563,9,0,2,0,,,1,0,1,2
2,2,7,116,,,4,0,1,0,,,1,0,0,7
1,1,4,555,4360490,140359,1,620,1,4,6,721,1,0,2,5
2,1,3,4,,,4,0,2,2,1,0,1,0,2,2
1,1,5,211,4855148,-52010,3,976,2,2,14,600,1,0,2,3
2,1,7,55,,,4,1,2,2,,,1,5,0,0
1,1,4,555,,,1,64,1,0,283,200,1,0,2,4
2,1,7,33,0,0,4,0,2,2,,,1,0,0,1
1,1,7,463,,,3,0,1,1,0,1,1,0,0,9
2,5,3,18,4896010,225520,4,,1,1,,,1,0,2,8
2,1,7,56,4366689,136144,3,902,2,1,0,0,1,3,0,0
2,1,3,1,4890510,237397,2,301,2,0,0,0,1,0,0,8
1,1,6,209,,,2,0,3,4,,,1,3,0,1
1,1,2,169,,,2,104,3,3,3,0,1,0,2,0
2,1,6,27,,,4,0,2,2,,,1,0,1,0
2,9,6,91,,,6,0,0,0,,,1,0,1,1
2,1,6,75,,,4,0,2,2,,,1,0,1,1
2,1,1,339,4,-,3,937,2,2,24,500,1,0,2,1
2,1,6,135,0,0,3,43,2,0,25,800,4,0,1,1
2,1,3,102,,,4,0,2,2,,,1,0,2,3
1,1,2,209,,,1,0,1,1,,,1,0,2,9
2,1,3,409,0,0,3,813,2,3,30,300,1,0,2,7
2,2,1,555,,,4,0,2,2,,,1,0,2,3
2,1,6,11,,,4,0,0,2,,,0,0,1,0
1,2,3,81,4433850,62343,3,113,2,2,6,706,1,0,2,8
1,1,2,223,,,2,0,1,4,38,800,1,0,2,9
1,1,6,562,4935100,254800,3,75,2,0,14,300,3,2,0,1
1,1,4,218,,,1,72,3,4,5,300,1,0,2,4
2,1,2,27,,,4,0,2,2,,,1,0,2,4
1,1,1,226,4472300,238500,3,601,2,2,11,400,1,0,2,3
2,2,1,112,,,4,0,1,1,,,1,0,2,4
1,1,1,24,4251749,283230,4,,1,1,0,0,1,0,2,1
1,1,7,175,4384000,-37100,3,30,2,2,11,500,3,13,0,9
2,1,6,113,,,9,0,2,2,,,1,0,1,1
2,1,1,173,4965700,-169024,3,16,2,2,0,268,1,0,2,1
2,1,3,18,,,4,0,2,2,0,0,1,0,2,3
2,1,3,302,,,3,0,2,2,1,0,1,0,9,5
2,1,2,178,,,4,0,2,2,,,1,0,2,4
2,1,6,96,4603700,610600,3,1201,3,2,37,0,1,12,0,1
2,1,2,2,,,4,0,1,2,,,1,0,2,4
1,1,1,27,0,0,3,26,2,0,0,0,1,0,2,7
1,1,3,150,0,0,1,6,3,3,396,0,1,4,0,3
2,3,2,231,,,4,0,2,3,,,1,0,2,5
2,1,6,20,,,3,0,3,2,,,1,0,1,2
2,1,2,55,,,4,1,2,0,,,0,1,2,4
2,9,1,41,4802100,379700,3,61,2,2,3,900,1,0,2,7
2,2,3,51,,,2,13,0,0,,,1,0,2,7
2,2,2,116,,,4,0,2,4,,,1,0,2,8
1,1,3,31,0,0,3,999,3,4,4,450,1,0,2,6
2,1,3,108,,,4,0,2,2,,,1,0,2,8
2,1,6,290,,,3,318,2,2,4,920,4,0,1,1
1,1,3,30,0,0,3,264,2,2,0,450,1,0,2,8
2,1,1,122,4296110,161438,3,117,2,2,39,548,1,0,2,1
1,1,6,98,4657329,74451,3,951,2,2,29,900,3,13,0,2
2,3,3,304,,,4,0,2,2,,,1,0,2,3
1,2,3,226,4715667,249451,3,186,2,2,4,260,1,8,2,7
2,1,3,79,4354400,694900,3,192,2,2,1,0,1,0,2,7
2,3,3,58,,,3,0,2,30,,,1,0,2,2
2,1,6,259,,,4,0,2,1,,,1,0,1,2
1,2,3,48,,,4,0,2,2,0,0,1,0,2,7
1,2,1,63,0,0,3,559,2,2,0,0,1,0,2,3
1,1,6,85,4584150,127967,1,20,1,1,182,0,1,4,0,1
2,2,1,389,,,4,0,2,2,,,1,0,2,1
1,1,5,456,4912600,-12800,3,613,2,3,45,730,1,0,5,6
1,3,3,265,4837091,-187509,3,637,0,2,81,724,0,0,2,8
2,1,2,55,,,4,0,2,4,1,0,1,0,2,5
1,1,1,49,0,0,3,16,2,0,9,500,1,0,2,3
2,3,6,55,4330325,537896,4,0,2,3,,,1,0,1,1
2,1,7,121,4776809,-338008,4,0,2,2,,,1,2,0,1
2,1,6,44,,,4,0,0,1,,,1,0,1,1
1,3,3,19,4839594,-447599,9,0,2,2,,,1,0,2,2
2,1,2,59,,,2,0,3,4,,,1,0,2,6
2,2,3,108,,,4,0,2,2,,,1,0,2,5
2,1,6,116,,,4,0,1,1,,,1,0,0,0
2,4,6,186,,,4,0,2,2,,,1,0,1,2
2,1,6,66,4808302,733846,4,,2,2,,,1,0,1,1
1,1,6,97,4500500,483900,2,86,2,1,43,920,1,13,0,2
2,1,3,69,,,4,0,2,2,0,,1,0,2,3
1,1,5,309,0,0,1,43,3,4,72,800,1,0,2,8
2,5,7,110,,,4,0,1,3,,,1,0,0,0
1,1,6,151,4920200,-157700,3,650,2,0,0,0,3,0,1,1
2,1,1,416,2119100,5557401,4,0,2,1,0,0,3,1,2,9
2,1,3,30,,,4,0,2,2,,,1,0,2,6
2,1,3,4,,,4,0,0,2,,,3,15,2,8
2,1,3,650,,,4,0,2,2,,,1,0,9,0
2,1,6,305,4,0,2,498,2,2,55,300,1,0,9,3
1,1,1,205,4791345,735974,3,201,2,2,0,0,1,0,2,3
2,3,2,92,,,3,321,2,2,5,190,1,0,2,6
2,1,3,401,,,4,0,2,3,,,1,0,2,3
1,1,1,289,0,0,3,93,3,2,32,130,1,0,0,3
2,1,5,124,0,0,2,3,2,0,0,0,1,0,2,8
1,1,6,109,,,4,0,2,2,1,0,1,1,2,4
2,1,3,39,,,2,0,3,4,25,0,1,0,2,8
2,1,6,56,0,0,9,0,0,1,,,1,0,1,4
1,1,2,555,4365120,142287,1,620,1,2,225,779,1,0,2,4
1,1,7,498,,,1,21,3,4,8,800,1,3,0,0
1,1,7,27,,,1,1,1,2,7,0,1,4,0,1
2,6,3,194,,,3,12,2,2,,,1,0,2,3
2,1,3,24,,,4,0,2,3,,,1,0,2,9
2,1,6,129,,,4,0,2,2,,,1,1,0,3
2,1,1,509,4930406,260443,3,1017,0,0,22,10,0,0,0,0
1,1,6,28,0,0,3,84,0,2,0,0,1,6,0,2
1,1,7,557,4580100,508600,4,0,2,0,0,0,1,2,0,1
2,1,3,121,,,4,0,2,2,,,1,0,2,2
2,1,6,122,4863900,730100,4,0,2,2,0,0,1,0,2,3
1,1,6,99,0,0,4,0,0,0,0,0,1,12,0,1
1,1,6,482,0,0,3,115,2,2,13,35,3,8,0,4
1,1,4,37,,,2,0,3,2,,,1,0,2,5
1,1,6,474,4981758,289787,3,35,2,2,6,300,3,0,0,1
2,3,3,74,4875130,245900,3,110,2,2,0,0,1,0,2,3
1,2,3,106,4450600,94926,3,162,2,2,6,500,1,0,2,3
2,2,1,129,4963930,-160542,4,804,2,2,0,0,1,0,2,7
2,1,6,113,,,4,0,2,0,,,1,0,1,1
1,1,4,555,4357070,143152,1,620,0,0,13,264,1,0,2,4
2,1,6,121,,,4,0,2,2,,,4,6,0,1
2,2,3,112,,,4,0,1,1,,,1,0,2,7
2,1,3,218,,,4,0,2,2,,,1,0,2,2
1,1,6,450,4,0,3,203,3,2,1,875,1,2,6,1
1,1,7,64,,,3,444,2,2,4,0,1,0,0,0
2,1,6,115,,,4,0,2,1,,,1,0,1,1
1,1,1,65,4217194,860838,3,81,2,0,50,900,1,0,9,8
2,1,6,66,,,3,0,2,2,0,1,1,0,2,3
2,1,6,194,,,4,0,2,3,,,1,0,2,5
2,1,6,55,4331526,544446,4,0,2,0,,,1,0,1,2
2,1,7,681,,,3,0,3,3,,,3,0,0,0
1,1,6,67,4,0,1,4,3,2,470,100,1,0,0,9
2,3,3,172,,,4,0,2,2,,,1,0,2,3
1,3,3,86,0,0,3,7,2,2,77,200,1,0,2,3
1,1,3,65,,,1,86,3,6,37,700,1,0,2,8
2,3,1,24,,,3,0,2,2,,,1,0,2,1
2,1,6,162,,,4,0,2,2,,,1,0,1,0
2,4,3,23,,,3,130,3,3,,,1,0,2,8
2,1,3,118,,,4,0,3,2,,,1,0,9,8
2,3,6,185,,,4,0,2,3,,,1,0,2,8
2,1,6,563,,,3,0,2,2,,,4,15,0,1
1,1,6,144,4810500,307900,3,103,2,2,4,150,1,1,0,1
2,1,6,22,4,0,3,38,2,2,12,160,1,0,1,7
2,1,6,387,4828175,407983,3,671,2,4,51,199,1,0,2,7
2,2,3,249,4488530,-51826,4,0,3,0,,,1,0,0,3
1,1,7,184,,,4,0,2,2,,,1,0,1,1
2,1,3,555,,,4,0,2,2,,,1,0,2,1
2,1,6,36,,,4,0,2,2,,,1,0,1,2
1,3,1,69,4,0,3,54,2,2,8,687,1,0,2,8
2,3,1,300,,,4,0,2,2,,,1,0,2,3
2,1,3,191,,,4,0,2,2,,,1,1,2,3
2,2,6,78,,,3,0,3,4,,,1,0,1,1
2,2,3,193,,,4,0,2,2,,,1,0,2,2
1,1,5,33,4599900,115100,2,147,2,2,21,450,1,13,2,7
1,1,6,211,4328650,543353,1,50,3,3,3,500,1,0,0,7
1,1,4,66,4893237,237256,1,1,3,4,4,200,1,14,2,9
2,1,1,172,4363181,387167,4,0,2,2,,,1,0,2,1
2,1,6,261,4739440,66827,4,0,3,4,0,0,3,6,0,8
2,1,6,49,,,3,0,2,2,,,1,0,1,1
1,1,7,66,,,4,0,1,2,0,1,1,0,1,1
2,1,3,557,0,0,4,0,2,0,0,0,1,0,2,6
2,1,3,486,,,3,0,2,2,,,1,0,2,7
2,6,3,540,4943724,106676,2,1338,1,2,8,650,1,0,2,3
2,1,2,28,,,4,0,2,4,,,1,0,2,4
1,1,6,121,,,1,20,2,2,,,1,0,2,4
2,1,3,49,,,3,0,2,4,0,100,1,0,0,7
1,1,7,462,0,0,3,925,2,0,0,0,3,16,0,9
2,3,3,260,,,3,0,2,2,10,400,1,0,2,3
2,1,3,12,,,3,165,2,2,0,35,1,0,2,3
2,2,3,395,,,4,0,1,1,,,1,0,2,8
2,1,3,407,,,4,0,1,1,1,0,1,0,2,2
2,2,3,108,,,4,0,1,1,,,1,0,2,8
2,1,6,55,,,4,0,2,0,0,0,1,0,2,6
