AreaZone,IntersectionType,CollisionType,Municipality,Latitude,Longitude,RoadCategory,RoadNumber,TrafficRegime,NrOfTrafficLanes,UpstreamTerminalNumber,DistanceToPR,AccidentSituation,StruckWithFixedObject,StruckWithMovingObject,InitialShockPoint
2,1,2,540,,,4,0,1,3,,,1,0,2,1
2,1,6,81,0,0,4,0,2,2,,,1,0,1,1
2,1,1,139,4739900,53000,3,49,2,2,3,700,1,0,0,3
1,1,1,377,0,0,2,4,2,2,7,135,1,0,2,1
2,1,6,599,,,4,0,2,1,,,1,0,1,3
1,3,4,281,,,3,0,3,4,,,1,0,2,4
2,1,3,18,,,4,0,3,2,,,0,0,2,7
2,3,6,231,,,4,0,2,2,,,1,6,0,1
2,3,6,445,,,4,0,2,2,,,1,0,1,1
1,1,1,262,0,0,3,242,2,2,0,400,1,0,2,1
2,2,6,19,,,4,,1,1,1009,0,1,0,2,1
1,2,1,224,0,0,3,763,2,2,11,0,1,0,2,3
1,1,1,139,4372990,215060,3,92,2,2,36,600,1,0,2,1
2,1,6,55,,,4,0,2,2,,,1,6,0,1
2,1,5,28,4319071,563929,3,559,2,2,,,1,1,2,8
2,1,6,29,,,4,0,1,1,,,1,0,1,4
2,4,7,116,,,4,0,1,2,,,1,0,0,8
2,3,3,118,4918400,-35155,4,,2,2,,,1,0,2,2
2,3,3,12,,,4,,2,4,1803,0,1,0,2,2
2,6,6,44,4875140,249047,3,229,2,2,,,1,0,1,1
1,1,3,308,4834700,565700,3,74,2,2,0,0,1,0,2,3
2,1,7,9,,,4,0,2,2,,,1,16,0,1
2,2,3,19,4839977,-449664,4,0,1,2,0,,1,0,2,7
1,1,3,176,0,0,3,10,2,0,0,0,1,0,2,8
1,1,1,73,0,0,3,35,2,2,6,0,1,0,2,1
2,3,2,54,,,4,0,2,2,,,1,0,2,4
2,2,6,63,,,4,0,2,2,,,1,0,1,2
1,1,3,638,0,0,3,1314,2,2,54,90,1,0,2,8
2,9,6,445,,,4,0,2,2,,,1,0,2,9
2,1,6,9,,,4,0,2,2,,,1,9,0,1
1,1,7,63,4590596,431194,3,64,2,2,12,700,1,0,0,7
2,1,6,529,0,0,3,127,3,2,1,500,1,1,0,7
2,0,1,27,,,2,,2,3,,,1,0,2,3
